testStores,state_test,store_type_test,locality_description_test,Eductation_Level_3_test,Birthplace_country_17_test,percentage_visits_age_group_2_test,Birthplace_country_22_test,Children_age_group_2_test,Children_age_group_1_test,Age_Group9_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,Eductation_Level_3_control,Birthplace_country_17_control,percentage_visits_age_group_2_control,Birthplace_country_22_control,Children_age_group_2_control,Children_age_group_1_control,Age_Group9_control,storeSales_control,similarity,salesCorrelation,rank
728,state_2,store_type_3,locality_1,4.168500000000001,0.777,15.624000000000002,0.6405,13.5555,13.6605,4.7355,25190.929565217386,640,state_2,store_type_2,locality_1,4.189500000000002,0.777,15.6135,0.6615000000000001,13.5135,13.713,4.7145,21496.023695652166,1.0,0.88,1
735,state_2,store_type_3,locality_1,4.5255,0.924,17.955000000000005,0.546,13.881000000000002,12.9465,3.9375,62827.05847826087,414,state_2,store_type_1,locality_1,4.4205000000000005,1.2075,16.8945,0.5565000000000001,14.217,13.1355,4.0215000000000005,64555.05369565217,0.97,0.08,2
735,state_2,store_type_3,locality_1,4.5255,0.924,17.955000000000005,0.546,13.881000000000002,12.9465,3.9375,62827.05847826087,688,state_2,store_type_1,locality_1,4.515,0.9765,17.9025,0.546,13.870500000000002,12.9675,3.9585,69118.11695652174,1.0,0.38,1
773,state_2,store_type_3,locality_1,6.1845,0.378,14.7315,0.7454999999999999,11.6445,11.613,3.7905,21234.060869565215,870,state_1,store_type_1,locality_1,5.04,0.052500000000000005,14.994000000000002,0.609,11.675999999999998,11.5185,4.3785,66167.42217391303,0.95,0.51,1
773,state_2,store_type_3,locality_1,6.1845,0.378,14.7315,0.7454999999999999,11.6445,11.613,3.7905,21234.060869565215,80,state_2,store_type_1,locality_1,6.6045000000000025,0.2625,14.5425,1.2075,11.3715,11.697000000000001,2.5935,64123.5045652174,0.95,0.6,2
790,state_2,store_type_3,locality_2,5.607,0.9135,23.1735,0.546,9.513000000000002,11.1195,2.0685,38592.16326086957,34,state_2,store_type_2,locality_2,5.5545,0.8400000000000001,23.152500000000003,0.5355000000000001,9.5235,11.088,2.121,41399.59934782609,0.99,0.8,2
812,state_2,store_type_3,locality_1,6.982500000000001,1.1550000000000002,14.994000000000002,2.7195,16.0755,15.798195000000002,1.533,45864.36086956522,100,state_2,store_type_1,locality_1,5.3445,0.7559999999999999,15.414,2.5515000000000003,16.905,15.798195000000002,2.6145000000000005,59362.09173913044,0.91,0.23,1
812,state_2,store_type_3,locality_1,6.982500000000001,1.1550000000000002,14.994000000000002,2.7195,16.0755,15.798195000000002,1.533,45864.36086956522,246,state_1,store_type_1,locality_1,5.0295000000000005,0.525,15.792,2.0055,16.8105,15.6555,2.8455,72543.42282608694,0.88,0.47,2
891,state_2,store_type_3,locality_1,5.649,0.3675,14.3115,1.7955,15.918,14.469,1.7010000000000003,19825.386304347827,55,state_1,store_type_3,locality_1,5.0085,0.5355000000000001,16.989,1.6800000000000002,16.779,15.2145,2.5305000000000004,29981.65304347826,0.91,0.63,1
891,state_2,store_type_3,locality_1,5.649,0.3675,14.3115,1.7955,15.918,14.469,1.7010000000000003,19825.386304347827,334,state_3,store_type_3,locality_1,4.767,0.0,15.708000000000002,1.3230000000000002,15.393,14.0805,0.5972400000000001,23151.72391304348,0.91,0.76,2
894,state_2,store_type_3,locality_1,7.4129999999999985,1.8375,15.1095,3.1500000000000004,12.5475,12.936000000000002,1.8165,36196.85847826087,358,state_1,store_type_1,locality_1,6.6045000000000025,1.05,15.0675,2.0685,11.9595,12.327,2.0475,59491.26673913043,0.9,0.4,1
894,state_2,store_type_3,locality_1,7.4129999999999985,1.8375,15.1095,3.1500000000000004,12.5475,12.936000000000002,1.8165,36196.85847826087,3,state_1,store_type_3,locality_1,5.061000000000001,0.2205,15.057,2.0475,12.6105,12.9465,1.7745,24949.810434782605,0.87,0.68,2
