store_sk,wkEndDate,TotNet,YoY
7,2019-03-31,32456.14,0.19741333861645027
7,2019-04-07,30775.32000000001,-0.0722998705604242
7,2019-04-14,31017.189999999984,-0.0663760792430168
7,2019-04-21,29122.259999999984,-0.2490624323125642
7,2019-04-28,30980.300000000014,-0.13750772212649898
7,2019-05-05,31033.120000000024,-0.08623507220755511
7,2019-05-12,30463.190000000028,-0.09604160503172499
7,2019-05-19,29749.88000000003,-0.09933674587691299
7,2019-05-26,30123.120000000024,-0.1054540271186839
7,2019-06-02,31429.75000000004,-0.06602842291567745
7,2019-06-09,30610.10000000002,-0.10489245878015441
7,2019-06-16,31741.22000000003,-0.05469597611992838
7,2019-06-23,32604.550000000025,-0.04999117139555442
7,2019-06-30,32004.000000000044,-0.09392424737872407
7,2019-07-07,33495.55000000005,-0.07894085574737386
