testStores,state_test,store_type_test,locality_description_test,dvSalesSum_trend_test,GCs_Total_trend_test,TotNet_trend_test,Income_numPeople_300_399_3km_test,Birthplace_percentPeople_Hon_0002_test,Education_percentPeople_Pers_0015_test,Income_percentPeople_Persons_0001_test,area_site_m2_test,category_net_cat_1_test,Birthplace_percentPeople_Ger_0003_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,dvSalesSum_trend_control,GCs_Total_trend_control,TotNet_trend_control,Income_numPeople_300_399_3km_control,Birthplace_percentPeople_Hon_0002_control,Education_percentPeople_Pers_0015_control,Income_percentPeople_Persons_0001_control,area_site_m2_control,category_net_cat_1_control,Birthplace_percentPeople_Ger_0003_control,storeSales_control,similarity,salesCorrelation,rank
4,state_3,store_type_2,locality_1,-0.0566534703600815,-0.05927172853725515,-0.10622831277440548,1767.5385,0.0315,4.956,8.82,230.0,4613.2715384615385,0.504,48271.40794871795,16,state_4,store_type_1,locality_1,-0.0810211747717271,-0.08452125235956531,-0.11160893264614302,2181.9945,0.273,5.439,9.051,470.0,7102.839743589742,0.525,80050.75153846155,0.93,0.5,1
4,state_3,store_type_2,locality_1,-0.0566534703600815,-0.05927172853725515,-0.10622831277440548,1767.5385,0.0315,4.956,8.82,230.0,4613.2715384615385,0.504,48271.40794871795,106,state_3,store_type_2,locality_4,-0.06120189226704165,-0.029788900539434168,-0.1029740904820301,2781.405170984456,0.2944896373056995,5.0994093264248725,8.897906735751295,1100.0,4588.192564102565,0.3691321243523316,172548.28948717943,0.93,0.18,2
4,state_3,store_type_2,locality_1,-0.0566534703600815,-0.05927172853725515,-0.10622831277440548,1767.5385,0.0315,4.956,8.82,230.0,4613.2715384615385,0.504,48271.40794871795,163,state_3,store_type_6,locality_1,-0.07883341975802227,-0.05195995026503497,-0.11144087136398484,2233.8015,0.052500000000000005,3.3075,8.693999999999999,240.0,7023.206923076923,0.28350000000000003,83209.87794871794,0.92,0.73,3
5,state_1,store_type_1,locality_3,-0.14289535392075034,-0.11435403667690758,-0.18993236527417526,46.3155,0.063,5.166,7.476000000000001,227.0,19604.06435897436,0.546,174156.7407692308,64,state_1,store_type_1,locality_3,-0.09716485961891796,-0.10112283243536924,-0.17193973712663346,631.6274999999998,0.0315,6.257999999999999,7.013999999999999,0.0,10460.475384615385,0.5565000000000001,140149.50307692302,0.89,0.89,1
5,state_1,store_type_1,locality_3,-0.14289535392075034,-0.11435403667690758,-0.18993236527417526,46.3155,0.063,5.166,7.476000000000001,227.0,19604.06435897436,0.546,174156.7407692308,32,state_1,store_type_1,locality_3,-0.12800077876217475,-0.09732310081768758,-0.16980469100138618,1027.698,0.07350000000000001,4.347,7.308,0.0,8636.492307692306,0.42,117538.01923076925,0.89,0.89,2
5,state_1,store_type_1,locality_3,-0.14289535392075034,-0.11435403667690758,-0.18993236527417526,46.3155,0.063,5.166,7.476000000000001,227.0,19604.06435897436,0.546,174156.7407692308,18,state_1,store_type_1,locality_3,-0.15067715675904558,-0.09638524014840057,-0.19711640630949245,1076.0505,0.0,5.5545,6.678000000000001,364.0,8476.272307692308,0.6405,108031.36282051283,0.88,0.92,3
6,state_1,store_type_1,locality_1,0.05423845970330343,0.029234165935147383,-0.013569524119861565,2564.121,0.1155,3.9585,8.904000000000002,4155.0,8836.517435897436,0.3885,98795.26692307691,148,state_2,store_type_1,locality_1,0.047253471525196884,0.03193487789605487,0.004802979068879497,2781.405170984456,0.2944896373056995,5.0994093264248725,8.897906735751295,3916.0,8551.493846153846,0.3691321243523316,122801.8728205128,0.96,0.65,1
6,state_1,store_type_1,locality_1,0.05423845970330343,0.029234165935147383,-0.013569524119861565,2564.121,0.1155,3.9585,8.904000000000002,4155.0,8836.517435897436,0.3885,98795.26692307691,150,state_3,store_type_1,locality_4,0.022518583341694987,0.0148892171344166,-0.02440574834356968,2781.405170984456,0.2944896373056995,5.0994093264248725,8.897906735751295,3779.0,7193.631282051282,0.3691321243523316,105126.87256410258,0.94,0.31,2
6,state_1,store_type_1,locality_1,0.05423845970330343,0.029234165935147383,-0.013569524119861565,2564.121,0.1155,3.9585,8.904000000000002,4155.0,8836.517435897436,0.3885,98795.26692307691,141,state_2,store_type_1,locality_1,0.03609105198617768,0.016337103877039905,-0.013103121854500466,3258.6855000000005,0.0945,5.292000000000002,8.673,3494.0,8243.904102564102,0.4515,161685.84512820514,0.94,0.52,3
7,state_2,store_type_1,locality_3,-0.06588222118461251,-0.0760424540186444,-0.11749564500997067,2701.5765,0.021,6.3420000000000005,8.557500000000001,2769.0,8773.612051282053,0.1365,157487.32897435897,179,state_6,store_type_1,locality_3,-0.07182741370335778,-0.06197073676032616,-0.10337002861697876,2329.1205,0.0105,5.6385000000000005,7.549500000000001,2260.0,6010.369230769231,0.07350000000000001,112699.0466666667,0.92,-0.07,1
