trial,variable,effectSize,ratio,alpha,ssStatus,ssAlert,testStores,numTeststores,metric,startDate,endDate,numWeeks,hierarchy,numCategories,numProducts,numProductSelected,extraFeatureShape,extraFeatureFiltered,dataInsufficient,multiCorr,corr,extraDuplicateCols,modelData.shape,features,gain,pvalues,rSquared,rSquaredAdj,mape,mdape,analyseFeatureStatus,afAlert,selectedFeatures,storesWithSettings,numStoresWithSettings,nControls,excludeControls,excludeControls.len,identifyControlStatus,icAlert,prePeriod,postPeriod,metrics,pValue,delta,liftAnalysisStatus,laAlert
testsample,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_4,,,,,,,"['10', '18', '24', '34', '37', '139', '140', '143', '155', '169', '160', '174', '194', '196', '198', '201', '203', '204', '207', '209', '188', '193']",22.0,2.0,2018-03-02 00:00:00,2019-03-02 00:00:00,52.0,"{'lvl': '2', 'categories': ['category 1', 'category 2']}",2.0,40.0,40.0,,,,,,,"[22, 106]","[['Birthplace_country_11'], ['Birthplace_country_20'], ['Language_1'], ['category 12 Net Sales'], ['item 736 Net Sales'], ['item 1023 Net Sales'], ['Birthplace_country_12']]","[[0.463], [0.172], [0.1475], [0.0762], [0.0342], [0.026], [0.0214]]",,0.9999996086721752,0.9999994130082628,0.008460546162720215,0.004892394202708053,Success,,"['Birthplace_country_11', 'Birthplace_country_20', 'Language_1', 'category 12 Net Sales', 'item 736 Net Sales', 'item 1023 Net Sales', 'Birthplace_country_12']",[],0.0,1.0,,0.0,Success,,"{'startDate': '2019-1-7', 'endDate': '2019-3-1'}","{'startDate': '2019-4-7', 'endDate': '2019-6-8'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.06227825719973758 0.47550288564257115 0.5064807823956001],[149.90653355972233 81.11382949380035 130.0573803367057],Success,
sadasd,Net Sales,11.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abcd,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_5,,,,,,,"['10', '6', '18', '24', '34', '37', '40', '42', '57', '59']",10.0,2.0,2018-03-01 00:00:00,2019-03-09 00:00:00,53.0,"{'lvl': '2', 'categories': ['category 6', 'category 1', 'category 2']}",3.0,60.0,60.0,,,,,,,"[10, 105]","[['Age_Group12'], ['Age_Group6'], ['Building_area'], ['Median_age_3km_radius'], ['Age_Group13'], ['Income_median_3km'], ['percentage_visits_age_group_4']]","[[0.5843], [0.302], [0.0444], [0.0391], [0.0153], [0.0099], [0.0036]]",,0.9999996972518346,0.9999986376332556,0.006392538885123434,0.0037936220889203493,Success,,"['Age_Group12', 'Age_Group6', 'Building_area', 'Median_age_3km_radius', 'Age_Group13', 'Income_median_3km', 'percentage_visits_age_group_4']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-1-1', 'endDate': '2019-3-2'}","{'startDate': '2019-4-1', 'endDate': '2019-6-1'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.9105134607069207 0.764091483873831 0.11691118789638683],[19.725127844952695 -54.56440805546335 -257.6556799655831],Success,
abcdef,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_6,,,,,,,"['4', '6', '10', '18', '24', '34', '37', '40', '42', '100', '105', '95', '106', '110', '117', '119', '124', '127', '128', '135', '137', '139']",22.0,2.0,2018-03-01 00:00:00,2019-03-03 00:00:00,53.0,"{'lvl': '2', 'categories': ['category 6', 'category 1', 'category 2']}",3.0,60.0,60.0,,,,,,,"[22, 105]","[['Income_median_3km'], ['Birthplace_country_7'], ['Language_5'], ['Birthplace_country_3'], ['Income_level_1'], ['Birthplace_country_12'], ['Income_level_4']]","[[0.3965], [0.3581], [0.0828], [0.0414], [0.0331], [0.0194], [0.0182]]",,0.9999995648064308,0.999999347209646,0.008445820326925051,0.0042199117689167365,Success,,"['Income_median_3km', 'Birthplace_country_7', 'Language_5', 'Birthplace_country_3', 'Income_level_1', 'Birthplace_country_12', 'Income_level_4', 'Median_age_3km_radius']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2018-12-9', 'endDate': '2019-1-20'}","{'startDate': '2019-2-2', 'endDate': '2019-3-2'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.8919030422254913 0.5315865512439047 0.49874809830080147],[-50.12168787265587 -33.52913639947327 -399.4203427554885],Success,
jghn,Net Sales,10.0,2.0,4.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_7,,,,,,,"['6', '10', '18', '24', '34', '37', '40', '42', '4', '95', '100', '105', '106', '110', '117', '119', '124', '127', '128']",19.0,2.0,2018-01-07 00:00:00,2019-01-06 00:00:00,53.0,"{'lvl': '2', 'categories': ['category 1', 'category 2', 'category 8']}",3.0,60.0,60.0,,,,,,,"[19, 106]","[['Birthplace_country_7'], ['Language_5'], ['item 722 Net Sales'], ['Birthplace_country_3'], ['Birthplace_country_11'], ['item 581 Net Sales'], ['Age_Group1']]","[[0.5321], [0.1489], [0.1121], [0.1027], [0.0189], [0.0187], [0.016]]",,0.9999996879861824,0.9999994894319348,0.006624457608508126,0.003001776528729129,Success,,"['Birthplace_country_7', 'Language_5', 'item 722 Net Sales', 'Birthplace_country_3', 'Birthplace_country_11', 'item 581 Net Sales', 'Age_Group1']",[],0.0,2.0,,0.0,Success,,,,,,,,
dgfhjk,Net Sales,10.0,1.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
